,직무명,회사명,위치,조건텍스트
411,윈도우 소프트웨어 개발,위슨테크놀로지,서울.한국,"'위슨테크놀로지'는 전기, 전자 분야의 계측 장치를 공급하며 고객에 요구사항에 따라 제품의 신뢰성과 성능 및 내구성을 시험할 수 있는 시스템을 개발 공급하는 업체입니다.
주요업무
• 검사자동화 / 제어 / 모니터링 소프트웨어 개발
자격요건
ㆍ윈도우환경에서 C, C++, Visual C++, C#, WPF, SQL-Server 프로그래밍 가능자.
ㆍSocket, Serial(RS-232/485, GPIB), CAN 등의 각종 통신 프로그램밍 가능자.
우대사항
ㆍ컴퓨터 및 전산관련, 전자공학 전공자.
ㆍ전기, 전자 계측 및 테스트 분야 프로그램 개발 경력자.
혜택 및 복지
• 퇴직연금, 인센티브제, 퇴직금, 4대 보험.
• 자기계발비 지원, 저녁식사 제공."
412,물류자동화 분야 설비제어 및 운영시스템 개발,알티올,서울.한국,"물류자동화 분야 설비제어 및 운영시스템 개발 경력직 채용
주요업무
• 물류센터/풀필먼트센터 자동화설비 제어시스템(ECS) 개발
• 물류센터/풀필먼트센터 물류제어시스템(WCS/WES) 개발
자격요건
【지원자격】
• 학력 무관
• 3년 이상의 자동화 시스템 CIM / ECS 개발 경력
• 원만한 의사소통 능력
• 해외여행에 결격 사유가 없는 자
• 국내/외 출장 가능자
• 남성의 경우, 병역필 또는 면제자

【보유기술 온션-1】
• C# WinForm 또는 WPF를 이용한 프로그래밍

【보유기술 옵션-2】
• Java를 이용한 GUI 또는 서버 사이드 어플리케이션 개발
우대사항
• 물류자동화 관련 시스템 개발 경험
• 영어 커뮤니케이션 능력
• Unix/Linux 환경에서 프로그램밍 경험
혜택 및 복지
• 지원금/보험: 건강검진
• 급여제도: 퇴직연금, 상여금, 성과보상금(인센티브), 연차수당, 출장비, 4대보험
• 선물: 명절선물/귀향비, 생일자 특급호텔 식사권제공
• 교육/생활: 워크샵, 도서구입비지원, 차량유류비 및 유지비 지원, 휴일근무 대체휴무, 구내식당(사원식당, 조/중/석식), 무제한음료제공(차,커피 등)
• 리프레시: 여름휴가, 창립기념일휴무, 근로자의 날 휴무"
413,프론트엔드 개발,알티올,서울.한국,"프론트엔드 개발 경력직 채용
주요업무
• UX중심의 설계 및 개발
• 사용자 경험과 편리성 중심의 디자인 설계 및 구현
자격요건
【지원자격】
• 학력무관
• 3년 이상의 프론트엔드 개발 경력
• 원만한 의사소통 능력
• 해외여행에 결격 사유가 없는 자
• 국내/외 출장 가능자
• 남성의 경우, 병역필 또는 면제자

【보유기술】
• React (Redux, TypeScript) 기반 개발
• Javascript ES6/HTML/CSS(SCSS) 최신 스펙에 대한 지식
• SPA,SSR(Next.js) 프로그램의 이해
우대사항
• 물류자동화 관련 시스템 개발 경험
• 영어 커뮤니케이션 능력
• Git 사용
• Jira, Confluence등 협업 소프트웨어 사용 경험
혜택 및 복지
• 지원금/보험: 건강검진
• 급여제도: 퇴직연금, 상여금, 성과보상금(인센티브), 연차수당, 출장비, 4대보험
• 선물: 명절선물/귀향비, 생일자 호텔 식사권제공
• 교육/생활: 워크샵, 도서구입비지원, 차량유류비 및 유지비 지원, 휴일근무 대체휴무, 구내식당(사원식당, 조/중/석식), 무제한음료제공(차,커피 등)
• 리프레시: 여름휴가, 창립기념일휴무, 근로자의 날 휴무"
414,백엔드엔지니어,트리프리,서울.한국,"세컨드리(secondre)의 백엔드 엔지니어 모집
직관적이고 편리한 UX를 제공하며 사용자 편의성 및 다양한 연계 서비스를 고려한 계속 방문하고 싶은  서비스 개발합니다.
비대면 본격 프리미엄 세컨핸드 거래 중계 서비스를 제공하는 세컨드리의 백엔드 영역 관리 , 어드민 유지보수 및 개발, 새로운 API 개발 및 본사가 개발 기획중인 새로운 플랫폼 개발
주요업무
1. PHP, Laravel 기반 세컨드리 플랫폼 백엔드 영역 개발 및 유지보수
2. 플랫폼 어드민 유지보수 및 추가 기능 개발 구축
3. API 개발 및 유지보수
4. AWS 및 인프라 관리
5. 신규 서비스 분석/설계/개발 업무 수행
자격요건
1. PHP, Laravel 기반 백엔드 개발 경력 5년이상 또는 그에 준하는 실력을 보유하신 분
2. 벡엔드 개발 경력 5년 미만이라도 빠르게 성장하고 다른 사람의 코드를 빨리 이해하고 수정 개선 가능하신 분
3. 코드 리뷰를 통한 적극적인 커뮤니케이션 할 수 있는 분
4. 동료와의 커뮤니케이션 및 협업이 원할하신 분
5. 직업윤리 및 자신의 업무에 대한 책임감이 강하신 분
6. AWS의 다양한 서비스 활용이 가능한 분
7. 대량 또는 이벤트성 트래픽 처리 가능하신 분
8. 서버 및 백엔드 영역을 주도적으로 관리하고 개선해 나갈 수 있는 분
우대사항
1. 서비스 기획부터 개발/런칭/운영까지 경험이 있으신 분
2. 상용서비스 개발 및 대량의 트래픽 처리 경험이 있으신 분
3. 프론트엔드 영역 이해와 경험이 있으신 분
4. 오픈소스 분석 경험, 디자인 패턴, 리팩토링 지식 및 경험이 있으신 분
5. 프로그래밍 관련 대회 수상 경력 있으신 분
6. 긍정적인 태도로 자기 발전을 끊임없이 노력하며 새로운 도전을 즐기시는 분
7. 개발팀 문화에 관심이 많고 이를 함께 긍정적이고 열정적인 슈퍼개발팀을 함께 만들어 
         나가실 분
혜택 및 복지
-       수습 3개월 (급여 90%지급)
- 출퇴근시간 협의 가능
- 간식 및 중식 제공
- 필요한 학습강의 지원
- 강압적인 야근 없음(필요시 자율적 판단에 맡김)
- 4대 보험
- 자유로운 연차 사용 가능
- 지급될 PC 보유(맥북프로+모니터)
- 서울 성수동 근무
- 연차 및 경력에 따라 연봉 협의 가능"
415,Big data 전문엔지니어,씨티아이앤씨,경기.한국,"씨티아이앤씨는 2011년 창업 이래로 전산 시스템의 안정성, 고가용성을 보장하여 고객의 이익을 극대화할 수 있는 다양한 솔루션 사업을 추진해 오고 있습니다.
특히 무정지 서버(STRATUS) 및 서버와 스토리지가 통합된 Hyper-converged 아키텍처 솔루션(NUTANIX) 사업을 주로 영위하고 있으며, 이를 기반으로 Enterprise-Cloud 관련 솔루션으로 사업영역을 꾸준히 확대해 나가고 있습니다.  

최근 국내외 IT 환경은 과거 그 어느 때 보다 빠르게 변화하고 있으며, 사람과 생활 중심의 기술로 집약 발전하고 있습니다. 특히 4차산업의 근간을 이루는 IoT, AI, Cloud, 빅데이터, 모바일 등의 기술들은 기업을 변화시키는 중요한 요소가 되었습니다.  

씨티아이앤씨는 이러한 변화에 대응하고, 고객과 함께 성장할 수 있는 모델을 꾸준하게 개발, 제공하고 있습니다. 앞으로도 항상 변화의 선도에서 기술과 트렌드를 조합한 최적의 솔루션으로 고객의 성원에 보답해 드리겠습니다.
주요업무
• Elastic Stack 을 이용한 로급데이타 수집 분석 시각화 
• 이상 징후 시스템 탐지  개발
자격요건
• Big data  관련 개발 경력 
• Elastic Stack 유경험자
우대사항
•  컴퓨터 정보통신 비전공자 우대
혜택 및 복지
•  정규직
•  4대 연금"
416,웹 개발 (Java/Jsp/Ajax/Spring),슈어엠,서울.한국,"슈어엠주식회사가 이제 지난 20년간 갈고 닦은 모바일 노하우를 바탕으로 세계시장에서 확대하고자 노력하고 있습니다.
전세계의 SMS, MMS 통신의 장벽을 허물어가는 Barrier-Free-Communication Enabler로서, 언제 어디서나 인간이 모두 연결되는 Ubiquitous Humanism을 목표로 전진해가고 있습니다.
슈어엠주식회사와 함께 해주십시요.
주요업무
• 메시징 솔루션 개발 및 고도화
• 상용시스템 연계
자격요건
• 경력 5년 ~ 10년
• JAVA 1.8, Spring-boot, JPA 활용 가능자
• Git 활용 가능자
• MySQL, MariaDB 등 RDB 활용 가능자
우대사항
• 프로젝트 리딩 유경험자
• MSA 경험자
• 컴퓨터/전산/수학 전공자 우대
혜택 및 복지
• 건강검진, 금연수당, 직원대출제도, 각종 경조사 지원, 헬스비 지급, 문화생활비, 통신비 지원, 해외여행 지원
• 우수사원시상식, 워크샵, 플레이샵, 직무능력향상교육, 리더쉽강화교육, 도서구입비지원, 자격증취득지원, 교육비 지원, 자기계발비 지원, 사내동호회 운영, 아침식사 제공, 음료제공(차, 커피)
• 인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 성과급, 휴일(특근)수당, 장기근속수당, 가족수당, 4대 보험
• 명절선물/귀향비, 창립일선물지급, 생일선물/파티
• 연차, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 포상휴가"
417,IT 연구소 헬스케어 SCM 웹솔루션 개발자,이지메디컴,서울.한국,"이지메디컴은 연 거래액 1조 규모의 국내 1위 헬스케어 SCM(구매 물류) 솔루션(웹기반) 회사입니다. 병원 및 의료기관에서 이뤄지는 구매와 물류 업무를 IT 솔루션으로 자동화하여, 
국내 의료 B2B 산업을 IT로 혁신하고 있는 기술 선도 기업입니다. IT연구소는 병원에 최적화된 IT 솔루션 개발은 물론 헬스케어 Big Data 분석을 통한 마켓 센싱 등  
이지메디컴의 지속적인 성장에 핵심적인 역할을 하고 있습니다. IT연구소에서 이지메디컴과 함께 국내 최고의 Medical Tech Leader로 성장할 인재를 찾습니다.
주요업무
헬스케어 SCM 웹솔루션 개발 담당
- 국내 최고의 병원 특화 구매/물류 솔루션 개발
- 차세대 스마트 물류 시스템 개발
- 기타 의료 분야 관련 신기술의 공동 연구
자격요건
- Java 개발 경험 2년 이상
- Java 와 Spring framework를 활용하여 웹어플리케이션 개발에 능하신 분
- 대용량 데이터 처리에 관심이 많으신 분
- 의료 분야 신기술과 Tech Trend에 대해 관심이 많으신 분
우대사항
- RESTful API 설계 경험
- 모바일 개발 경험
- Python 활용 능력
- Oracle 기반 개발 경험
혜택 및 복지
선택적 복리후생(카페포인트)
자녀학자금 지원
경조사 지원
명절 선물 제공
장기근속포상
석식/야간교통비 지원
문화의날 운영
통합사판몰 운영"
418,Android 개발자,시니스트,서울.한국,"“새로운 세계로 나아가는 방향”을 제시하는 시니스트입니다.
시니스트는 블록체인, AI, 딥러닝 등과 같은 미래 신기술을 활용한 IT서비스를 제공하여 사용자에게 특별한 경험을 제공합니다. 시니스트 멤버는 도전을 두려워하지 않으며, 사용자에게 새로운 즐거움을 선사합니다.
주요업무
• Android App 개발
자격요건
• kotlin 개발 경험 3년 이상
• Network Async Task, Layout Customizing, JSON parse, Webview
• 앱 출시 및 운영 경험
• 버전관리 툴(Git/SVN) 이용한 협업 가능자
우대사항
• Android Framework 개발 경험 보유자
• Blockchain Wallet 개발 경험 보유자
혜택 및 복지
• 4대보험
• 성과에 따른 연말 보너스
• 능력에 따른 스톡옵션
• 열정에 따른 교육 지원
• 눈치없이 연차 사용가능
• 듀얼모니터 지원
• 맥북 지원
• 무제한 간식 및 커피 제공"
419,딥러닝 알고리즘 엔지니어,블루닷,서울.한국,"“미디어 생태계는 스트리밍으로 ...”
방송과 스트리밍 서비스의 경계를 구분하는 일이 어려워지고 있습니다. 스포츠, 영화는 물론이고 게임과 쇼핑까지도 스트리밍으로 소비하는 시대입니다. 
“서비스 경쟁전략”
미디어 서비스 회사들은 차별화된 시청 경험 제공을 위해 다양한 영상처리 기술을 검토하고 있습니다. 
블루닷에서는 반도체 기술과 합을 이루어 실시간 영상처리 알고리즘 개발에 도전할 딥러닝 엔지니어를 찾고 있습니다.
주요업무
• 머신러닝/딥러닝 기반의 영상처리 알고리즘 연구 및 개발
• 영상처리 알고리즘 가속을 위한 시스템 반도체 IP 엔지니어와 협업
자격요건
• 컴퓨터비전/머신러닝/딥러닝 지식보유 및 관련 프로젝트 수행 경험자
• 딥러닝 프레임워크(e.g Tensorflow등) 사용 가능
우대사항
• 딥러닝 프레임워크 경량화를 위한 최적화 경험 및 기술 보유
혜택 및 복지
• 개인장비 - 고성능 컴퓨터 or Mac 지원
• 식사,간식 - 스낵바(간식,음료) 제공 및 야근식대 지원
• 연차,휴가 - 자유로운 휴가, 연차 사용
• 근무형태 - 자율 출근제
• 건강검진 - 매년 종합검진 제공
• 기타 - 4대보험 가입, 퇴직금 별도지급"
420,반도체 회로설계 개발자,블루닷,서울.한국,"""제대로 된 설계라는 건...와서 같이 하실래요?"" 블루닷은 반도체 설계를 위해 C/C++를 사용한 High-Level Synthesis를 주력으로 사용하고 있습니다. 딥러닝이 적용된 영상 처리, 압축 알고리즘을 반도체로 구현하다 보니 인공신경망 처리를 위한 가속회로도 설계하고 있습니다. 해당 분야에 최고의 실력을 가진 팀이라고 자신있게 말씀드릴 수 있습니다. 첨단의 설계분야와 개발플로우로 익히고 실무에 적용함으로써 상업적 가치가 있는 제품을 개발하고 반도체 설계자로써의 차별화된 경쟁력을 키우실 수 있습니다.
주요업무
• 지능형(AI기반) 동영상 처리, 압축 반도체 설계
• 딥러닝, 동영상 처리 알고리즘 개발자 및 시스템소프트웨어 개발자와 협업
자격요건
• C/C++능숙
• (신입) Verilog코드 읽을 줄 아시는 분
• (경력) Verilog로 기가 막히게 설계하시는 분
• High-Level Synthesis를 제대로 배우고 싶으신 분
우대사항
• High-Level Synthesis 유경험자
혜택 및 복지
• 개인장비 - 고성능 컴퓨터 or Mac 지원
• 식사,간식 - 스낵바(간식,음료) 제공 및 야근식대 지원
• 연차,휴가 - 자유로운 휴가, 연차 사용
• 근무형태 - 자율 출근제
• 건강검진 - 매년 종합검진 제공
• 기타 - 4대보험 가입, 퇴직금 별도지급"
421,웹퍼블리셔,비엠텍시스템,서울.한국,"안녕하세요, 비엠텍시스템입니다. 

저희와 함께 가치를 발견하고 사업 확대를 진행할 개발자를 채용중입니다.
자세한 내용 확인해보시고, 관심 있으시다면 연락처 공개 부탁드립니다.

저희 비엠텍시스템은 MSA, API 관련 연계 사업, SAP ERP Conversion 연계 사업 등의 분야로 사업을 진행하고 있으며, 자체 개발한 API Management 제품을 보유하고 있습니다.  
제의 하고자 하는 포지션은 솔루션 개발입니다.

저희는 사업을 시작한지 약 2년이 되었지만 2018년 약 6억을 시작으로
2019년 약 47억, 2020년은 약 100억 매출을 예상하고 있습니다.
업력에 비해 높은 성장률을 보이고 있으며 점차 사업을 확장하고 있습니다.

더 궁금하신 내용은 문의주시면 친절히 안내해드리겠습니다.

함께 이야기 나눌 수 있는 기회가 있기를 기대하겠습니다.
주요업무
• 웹 퍼블리싱
자격요건
• 1년 이상 해당직무 근무 경험자
• 업무 이해도와 습득력이 탁월하신 분
• 웹 개발 관련 이해도가 높으신 분
우대사항
• SASS 사용 가능자
• 에이전시 경험자
• 프론트엔드 프레임워크(angular) 사용 프로젝트 경험자
혜택 및 복지
• 퇴직금, 자격증수당, 4대 보험
• 명절선물/귀향비, 생일선물/파티, 크리스마스 선물
• 워크샵, 점심식사 제공, 간식 제공, 음료제공(차, 커피), 컨퍼런스 개최
• 회의실, 공기청정기, 유니폼지급, 사원증, 사무용품 지급, 최고 성능 컴퓨터
• 회식강요 안함, 자유복장, 자유로운 연차사용, 사내연애 장려
• 연차, 여름휴가, 창립일휴무, 근로자의 날 휴무"
422,웹 개발,비엠텍시스템,서울.한국,"안녕하세요, 비엠텍시스템(주)입니다. 

저희와 함께 가치를 발견하고 사업 확대를 진행할 개발자를 채용중입니다.
자세한 내용 확인해보시고, 관심 있으시다면 연락처 공개 부탁드립니다.

저희 비엠텍시스템은 MSA, API 관련 연계 사업, SAP ERP Conversion 연계 사업 등의 분야로 사업을 진행하고 있으며, 자체 개발한 API Management 제품을 보유하고 있습니다.  제의 하고자 하는 포지션은 솔루션 개발입니다.

저희는 사업을 시작한지 약 2년이 되었지만 2018년 약 6억을 시작으로
2019년 약 47억, 2020년은 약 100억 매출을 예상하고 있습니다.
업력에 비해 높은 성장률을 보이고 있으며 점차 사업을 확장하고 있습니다.

더 궁금하신 내용은 문의주시면 친절히 안내해드리겠습니다.

함께 이야기 나눌 수 있는 기회가 있기를 기대하겠습니다.
주요업무
• Angular 웹 사이트 개발
• Java 웹 서버 개발
• API 솔루션 제품 개발
자격요건
• 4년 이상 해당직무 근무 경험자
• 업무 이해도와 습득력이 탁월하신 분
• 문제해결 능력과 학습 능력이 좋으신 분
• 팀원과 협업 시 의사소통에 문제가 없으신 분
우대사항
• 관련학과 전공 또는 관련교육 이수자
• 프론트엔드 프레임워크 사용 경험자
• Spring boot 프로젝트 경험자
• API 관련 프로젝트 경험자
• 모니터링 시스템 프로젝트 경험자
• d3.js, Echart, Highchart 등 그래프 사용 경험자
혜택 및 복지
• 퇴직금, 자격증수당, 4대 보험
• 명절선물/귀향비, 생일선물/파티, 크리스마스 선물
• 워크샵, 점심식사 제공, 간식 제공, 음료제공(차, 커피), 컨퍼런스 개최
• 회의실, 공기청정기, 유니폼지급, 사원증, 사무용품 지급, 최고 성능 컴퓨터
• 회식강요 안함, 자유복장, 자유로운 연차사용, 사내연애 장려
• 연차, 여름휴가, 창립일휴무, 근로자의 날 휴무"
423,웹 서비스 개발자,테크디엔에이,경기.한국,"기업, 전문가의 “Technology DNA” 정보를 수집/분석하여 다양한 기술 경영학적 인사이트를 제공하고 있습니다.
테크디엔에이와 함께 좋은 결과물을 만들기 위해 끊임없이 피드백을 주고 받을수 있고, 이러한 과정을 즐길수 있는 인재들의 도전을 기다립니다.
주요업무
- 클라우드(GCP)기반 Datawarehouse 설계 및 구축

- Python, Java, Node.js 등의 프로그래밍 언어를 통한 데이터 분석, 처리

- Elastic Stack 운영

- 비즈니스와 밀접하게 연관된 데이터 플랫폼 구축

- 데이터 수집, 처리, 분석 파이프 라인 구축 및 

   내부 서비스 관리 도구 고도화

- 프론트 엔드 & 백엔드 개발 및 운영(spring, spring boot framework)
자격요건
- 클라우드 기반(GCP) Datawarehouse 설계 및 구축, 운영 경험


- Python, Java 또는 Node.js 기반 데이터 처리 경험


- Elastic Stack 설치 및 구축, 운영 경험


- 웹 서비스 전반에 걸쳐 높은 이해도를 가지신 분(front-end & back-end)


- java, java script 에 능숙하신 분


- 새로운 프로젝트를 시작함에 있어 전체 기획을 이끌어 갈 수 있는 

   능력과 열정을 보유하신 분


- 경력 : 경력5년 이상
우대사항
- 빅데이터 플랫폼 사용 경험 ( BigQuery, Redshift, cloudera, Apache Druid )


- 대용량 분산처리 시스템 개발 및 경험 

   ( Hadoop, Apache Spark, Apache Kafka )


- 실시간 데이터 스트리밍 처리 경험

 ( Apache Flink, Apache Storm, Apache Spark Streaming )


- 시각화 툴 또는 BI 툴 경험 ( PowerBI, Tableau, Superset, ReDash 등 )


- Python을 이용한 개발 경험 ( Restful-API, ML, DL )


- 데이터 분석을 통한 인사이트 도출 경험


- 새로운 것을 익히고 공유하는 것에 부담이 없으신 분
혜택 및 복지
[복지/보상]

• 탄력근무 
  "" 출퇴근 탄력근무제 및 리모트 근무가 가능합니다!! ""

• 개인 경조금 지원
  "" 기쁜 일은 더 기쁘게, 슬픈 일은 나눌 수 있는 그런 문화를 지향합니다.""

• 일할 땐 일하고 쉴 땐 맘편히 눈치 안 보고 빠르고 자유롭게 쓰는 휴가!!
  "" 연차는 쓰고 싶을 때!!!, 연차신청서에 사유는 필요없어요!!""

• 든든하게 먹고, 든든한 인재가 되는 무제한 간식 & 먹거리
  "" 입이 심심할 땐? 먹어야죠. 간식 및 커피 무제한 제공!!! ""

•  복장은 무조건 자유

•  도서 구입 & 자기계발에 대한 무한지원 !!
   "" 적.극 권장합니다 우리 모두 똑똑한 테크DNA인이 되어보자구요!! """"

• Work & Reward Balance (우수사원 및 장기근속자 포상제도)


먹을 땐 먹고, 놀땐 놀지만, 일할 땐 또 제대로 일 합니다!

""모든 직원이 함께 만들어가는 즐겁게 일하는 문화를 우선으로 합니다.""

저희와 함께 더 좋은 서비스를 만들어갈 역량있는 파트너를 기다리고 있으니
편안하게 연락 주시고 함께 갈 수 있는 방향을 모색해 보았으면 합니다."
424,Android 개발자,제나,서울.한국,"Frontend 개발팀에서 함께 서비스를 개발 / 운영하며 함께 성장할 동료를 찾고 있습니다.^^
저희 FE 개발팀에서는 무난한 성격에 소통이 원활하신 3 ~ 6년차의 경력 개발자님들께서는 많은 지원 부탁드립니다.

※ 채용절차는 서류전형 ＞ 면접전형(실무자/임원) ＞ 최종합격 단계로 심플합니다.:)
주요업무
• Android 신규 서비스 개발
• Android 앱 유지보수
자격요건
• Android 개발 경력을 가진신 분
• Java / Kotlin을 활용해 개발 경험이 있으신 분
• 원활한 커뮤니케이션에 무리가 없으신 분
우대사항
• Kotlin 사용경험
• 남/여 성별에 상관없이 우대함!!
• 나이는 가급적 30대 후반까지만 우대함!!
혜택 및 복지
• 워라하(Work-Life Harmony)
 - 야근없고 칼퇴기본!! 눈치 부담 ZERO!!
 - 회식 및 술 강요 NO!!
 - 자유로운 연월차 사용
 - 업무 관련 도서 구매 지원"
425,"(이천SKT OEM상주)시스템 엔지니어, 서버 엔지니어",이스턴네트웍스,경기.한국,"이스턴네트웍스는 빅데이터 기반의 Q-Plus 솔루션을 통해 고객에게 가치있는 서비스를 제공하며
서버, 스토리지, HCI, 가상화, Linux 등 다양한 솔루션의 사업 수행 경험과 노하우를 갖춘 IT 전문 서비스 기업 입니다.
Dell EMC GCCS 5년 연속 수상 및 Dell EMC APJ Marketing Champion Award 수상 등
Dell EMC No.1 파트너로써 지속적으로 성장을 하고 있으며
신용보증기금에서 주관한 라이징스타기업 선정되는 등 대외적으로도 이스턴네트웍스의 가치를 인정 받고 있습니다.
주요업무
• Server 구축, 설치, 운영
• H/W 유지보수(TroubleShooting)
• 필드 엔지니어 업무
• Linux, NT, Windows OS작업
자격요건
• 학력: 초대졸(2,3년)이상
• 경력: 5년차 이상
우대사항
• 유관업무(PM업무,상주지원) 경력자
• 외부 IT 교육 이수자(시스템,클라우드,리눅스)
• 리눅스마스터, Windows 자격증 보유자
혜택 및 복지
• 주5일 09:00~18:00 근무
• 주말근무 없음
• 상여금 년 2회
• 퇴직금 지급
• 연차 전체 사용
• 식사 제공
• 기숙사 제공
• 외근출장비 제공"
426,"(이천 SK MA 상주) 시스템 엔지니어, 서버 엔지니어",이스턴네트웍스,경기.한국,"이스턴네트웍스는 빅데이터 기반의 Q-Plus 솔루션을 통해 고객에게 가치있는 서비스를 제공하며
서버, 스토리지, HCI, 가상화, Linux 등 다양한 솔루션의 사업 수행 경험과 노하우를 갖춘 IT 전문 서비스 기업 입니다.
Dell EMC GCCS 5년 연속 수상 및 Dell EMC APJ Marketing Champion Award 수상 등
Dell EMC No.1 파트너로써 지속적으로 성장을 하고 있으며
신용보증기금에서 주관한 라이징스타기업 선정되는 등 대외적으로도 이스턴네트웍스의 가치를 인정 받고 있습니다.
주요업무
• Server 구축, 설치, 운영
• H/W 유지보수(TroubleShooting)
• 필드 엔지니어 업무
• Linux, NT, Windows OS작업
자격요건
• 학력: 초대졸(2,3년)이상
• 경력: 5년차 이상
우대사항
• Windows Server 운영 스킬 보유(MSCS 구성 및 장애처리, AD이해)
• RHEL 운영 스킬 보유(LVM, multipath, udev 구성)
• X86 H/W 유지보수(장애처리)
• 전산실 운영 관리 경험 보유(UPS 전원, 전력 이해)
• 전반적인 Infra Architecture 개념
혜택 및 복지
• 주5일 09:00~18:00 근무
• 주말근무 없음
• 상여금 년 2회
• 퇴직금 지급
• 연차 전체 사용
• 식사 제공
• 기숙사 제공
• 외근출장비 제공"
427,HW System 개발,메디씽큐,경기.한국,"의료용 스마트글라스 분야에서의 글로벌 선두주자로 자리매김 중인 메디씽큐는 이미 50개 이상의 전세계 병원 및 의료기기 기업들과 필드테스트가 진행되어 매우 긍정적인 평가를 받고 있으며, COVID19 상황 속에서도 폐쇄적인고도 보수적인 것으로 유명한 의료기관들을 상대로 초기매출을 발생시키고 있습니다. 

20년도에 30억원 이상의 시리즈A 투자유치에 성공하였고, 21년초에 대규모 시리즈B 해외투자유치를 추진 중에 있으며, 21년도에는 20년도의 10배가 넘는 120억원의 매출목표를 세우고 임직원 일동 일치 단결하여 사업개발에 매진하고 있습니다.
주요업무
• HW System 개발
자격요건
• Embedded hardware 보드 개발 경험
• 네트웍 관련 개발 경험
• 6개월 이상의 IT 또는 Startup 근무 경험
우대사항
• 영상장비 개발 경험 우대
혜택 및 복지
• 점심 / 저녁 (야근시) 식대 지원
• 잔여연차 보상지원
• 매월 2만원 문화상품권 지급
• 통근비 월 5만원 지급
• 코로나19로 인한 택시비 추가 지원 (5만원 한도)"
428,"영상 처리 개발 (Streaming uploader, downloader 개발)",메디씽큐,경기.한국,"의료용 스마트글라스 분야에서의 글로벌 선두주자로 자리매김 중인 메디씽큐는 이미 50개 이상의 전세계 병원 및 의료기기 기업들과 필드테스트가 진행되어 매우 긍정적인 평가를 받고 있으며, COVID19 상황 속에서도 폐쇄적인고도 보수적인 것으로 유명한 의료기관들을 상대로 초기매출을 발생시키고 있습니다. 

20년도에 30억원 이상의 시리즈A 투자유치에 성공하였고, 21년초에 대규모 시리즈B 해외투자유치를 추진 중에 있으며, 21년도에는 20년도의 10배가 넘는 120억원의 매출목표를 세우고 임직원 일동 일치 단결하여 사업개발에 매진하고 있습니다.
주요업무
• 영상 처리 개발 업무
• Streaming uploader 및 downloader 개발 업무
• 사용자 인증 (REST API) 개발 업무
자격요건
• 영상 처리 개발 업무 경험자
• Streaming 서버 개발 업무 경험자
• REST API 개발 업무 경험자
우대사항
• C/C++ 개발 경험자 우대
• Linux, Java 개발 경험자 우대
• 6개월 이상의 IT 또는 Startup 근무 경험자 우대
혜택 및 복지
• 점심 / 저녁 (야근시) 식대 지원
• 잔여연차 보상지원
• 매월 2만원 문화상품권 지급"
429,클라우드 관리시스템 개발자,아이티위너,서울.한국,"아이티위너는 임직원 개인의 발전과 생활의 균형을 추구하는 안정적인 중소기업입니다. 
2003년 설립 이후 공공, 금융, 서비스 등의 분야에서 수 많은 프로젝트를 수행한 전문 SI기업이며, 네이버 클라우드 플랫폼 서비스 파트너사로 고객 중심의 맞춤형 클라우드 서비스를 제공하고 있습니다.
`Dream it! Realize it`이라는 비전을 가지고 고객과 임직원이 꿈꾸는 것을 함께 실현하고자 노력하는 건실한 기업으로 당사와 함께 성장하실 열정적인 인재를 모집합니다.
주요업무
• 클라우드관리시스템 개발 및 운영
자격요건
• Java, Spring Framework 또는 숙련된 백엔드 프로그래밍 언어 및 프레임워크를 사용한 개발기술 보유
• JSP, Javascript 또는 숙련된 프론트엔드 프로그래밍 언어 및 프레임워크를 사용한 개발기술 보유(백엔드와 프론트엔드 둘 중 하나라도 자신있게 프로그래밍 하실 수 있으면 됩니다.)
• 시스템 또는 기능 분석자료를 보고, 설계 및 구현 가능
(설계/구현은 팀협업을 통해서 진행하며, 필요에 따라 문서화 합니다.)
우대사항
• 정보처리기사 보유 
• 리눅스/클라우드(벤더무관) 에 대한 사용경험이 있으신 분
(리눅스 및 네트워크에 대한 기본 배경지식 보유하신 분이면 좋겠습니다. 클라우드는 오셔서 경험하셔도 됩니다.)
• 유연한 사고와 커뮤니케이션 역량이 있는 분
• 개발관련하여 새로운 경험을 좋아하시는 분
혜택 및 복지
• 자기계발
 - 의료비 및 체력단련비 등 건강관리비 지원
 - 음반, 공연, 전시회 등 문화생활비 등 지원
 - 직무관련 교육, 세미나 참석, 도서비 등 지원

• 워라벨
 - 가족과의 외식 및 여행비 지원
 - 자녀 입학축하금 지원
 - 유연근무제, 육아휴직

• 기타 복지
 - 본인 및 배우자 건강검진 지원
 - 경조휴가 및 경조비 지원
 - 생일선물 및 명절선물 지원
 - 장기근속자 포상 및 휴가"
