직무명,회사명,위치,자격요건,우대사항
데이터엔지니어(DBA),이지스엔터프라이즈,서울.한국,"
• 필수기술 : Oracle DBA(Oracle 10g~19c)
• 데이터베이스 실무경력 1년~6년
우대사항","
• OCP 및 관련 자격증 취득자
혜택 및 복지
• 임직원 건강검진 지원 (본인 이외 배우자 및 직계가족 1인 포함)
• 임직원 의료비 지원 (본인 이외 배우자 및 직계가족)
• 장기근속휴가 및 포상금 지원
• 임직원 자기개발비 지원
• 식대지원 (페이코포인트 지급)"
서버 개발자,비컨,경기.한국,"
- 웹 서비스에 대한 이해가 있으신 분
- Typescript, node.js 등 서버 개발 관련 관련 2년 이상의 경험이 있으신 분
- RDBMS, NoSQL에 대한 이해가 있으신 분
우대사항","
- AWS 등 클라우드 환경 개발 경험
- Typescript 사용 경험
- Git/Pull Request를 통한 협업 경험

- 다양한 직군의 사람들과 의사소통이 원활한 분 (디자이너, 기획자 등)
- 새로운 시도, 아이디어 제안을 좋아하는 분
- 개인성장에 갈증을 느끼는 동료 모집
- Becon의 비전과 가치에 공감하시는 분
- 탈모 고민으로 고통받은 지인이 있으신 분 (본인 우대)
혜택 및 복지
• 누구보다 빠르게 남들보다 편하게,
   - 본사(선릉역 도보 1분 거리) & 기업부설 연구소(용인 보정동 카페거리 근처)
• 쉴땐 쉬고, 일할땐 일한다! (자유로운 연차 사용)
• 4대 보험은 기본!
• 직무 발명 보상제도 운영
• 청년 내일채움공제 제도 운영 (희망자에 한함)
• 설/추석 선물"
서버 개발자,GymT(짐티),서울.한국,"
• 3년 이상의 백엔드 실무 경력이 있으신 분
• Python/Django를 이용한 RESTful API 개발 경험이 있으신 분
• Git을 통한 버전 관리/협업에 능숙하신 분
• 맡은 일에 대한 오너십을 갖고 이를 완성시키는 것에 열정이 있으신 분
• 원활한 커뮤니케이션 능력을 갖고 계시며 함께 성장하려고 하시는 분
우대사항","
• CI/CD 구축 경험이 있으신 분
• 대용량 트래픽 시스템에 대한 운영 경험이 있으신 분
• 테스트 자동화 및 테스트 코드 작성 경험이 있으신 분
• 업무 프로세스 및 개발 문화 개선에 관심이 많으신 분
혜택 및 복지
• 당신의 몸 건강 우리에게 맡기세요 (월 20만원 운동 비용 지원)
• 함께 성장해 나가는 조직 문화 (CTO 주관 코드리뷰 세션)
• 당신의 패션 당신에게 맡깁니다 (자유복장)
• 업무를 위한 최상의 환경을 제공합니다 (최고급 사양 PC지급)"
프론트 개발자,GymT(짐티),서울.한국,"
• 웹 프론트엔드 개발 경력 3년차 이상 또는 그에 준하는 역량을 보유한 분
• Git을 이용해 프로젝트 관리 해 보신분
• 자신의 생각을 논리적으로 표현할 수 있는 능력이 있는 분
• 스스로 문제를 찾고 해결책을 제시할 수 있는 분
• 새로운 프론트엔드 기술에 관심이 많은 분
• HTTP 또는 RESTful API 클라이언트 개발 경험 있으신분
• 새로운 기술에 관심과 호기심이 많으신 분
우대사항","
• Vue, Angular 등 하나 이상의 경험 있으신분
• ES6+, Typescript를 이용한 개발에 능숙하신 분 
• Webpack, Babel 등을 이용한 번들 최적화에 대한 이해가 있으신 분
• AWS(EC2, S3, CloudFront) 관련 서비스 구동 및 설계 해보신 분
• 성능 최적화에 대해 지속적으로 고민하고 노력하는 분
• 모바일 개발에 흥미가 있으신 분
• 테스트 자동화 및 테스트 코드 작성 경험이 있으신 분
• 업무 프로세스 및 개발 문화 개선에 관심이 많으신 분
혜택 및 복지
• 당신의 몸 건강 우리에게 맡기세요 (GymT 서비스 직원할인)
• 함께 성장해 나가는 조직 문화 (CTO 주관 코드리뷰 세션)
• 당신의 패션 당신에게 맡깁니다 (자유복장)
• 안정적인 근무 여건은 걱정마세요 (4대 보험)"
PHP 개발자,한국통합민원센터,서울.한국,"
• 경력 1년~5년 웹개발 경험자
• PHP, MySQL 경험자 (쿼리 실행계획 해석 및 튜닝 가능)
• Javascript, CSS, HTML에 대한 이해
• 새로운 기술, 환경에 대한 열린 자세
우대사항","
• Laravel 프레임워크 경험자
• AWS 서비스 환경 경험자
• Git / Slack / Trello 개발환경 경험자
• 자신만의 프로젝트를 만들어 본 경험자
혜택 및 복지
• 유연 근무제 실시(8시~10시 출근)
• 지각 데이(너무 피곤 할 시 오후 출근하는 날)
• 업무 참고 도서 및 개발 서적 제공
• 경조사 지원
• 교육비 지원
• 청년 내일채움공제: 연구소 직원은 입사와 동시에 100% 가입
• 기타 다양한 복지 제공

• (상세)임직원복지제도 참조 URL
   https://allminwon.com/center/welfare.php"
프로덕트 엔지니어 (Ruby on Rails 개발자),레디앤스타트,서울.한국,"
* 지원하실때 필수로 아래 질문에 대한 답변을 작성해서 보내주세요.
1. 잇다에 지원한 이유와 자신의 목표는 무엇인가요? 왜 수많은 회사 중 잇다에 지원하셨는지 궁금합니다.
2. 자신의 꿈은 무엇이고 꿈을 이루기 위해 최근 2년 동안 어떤 활동을 해오셨나요?
3. 잇다 팀에 기대하는 바가 있다면 무엇인가요?

- Ruby, Python 등 서버/백엔드 개발 언어 경험
- Rails, Django 등 프레임워크 기반 서버/백엔드 개발 경험
- HTML5, CSS3, JavaScript 등 프론트엔트 개발 경험
- 긍정적 사고와 커뮤니케이션 역량, 다양한 직군과의 협업 경험
- 자신에게 주어진 일을 하기보다 팀을 위해 스스로 일을 찾는 것을 좋아하는 분
- 좋은 품질의 코드, 아름다운 코드를 만들 때까지 끝없이 수정하는 것을 좋아하는 분
- 복잡한 비즈니스 로직을 빠르고 정확하게 이해하며 기술 부채를 쌓지 않는 문제 해결 방법을 좋아하는 분
우대사항","
- 실서버 환경에서 Rails 개발 경험
- 스택오버플로우 등 영어로 된 레퍼런스 문서를 읽고 이해하는 데 무리가 없으신 분
- 주석이 필요없는 코드를 작성하는 것을 개발자의 덕목으로 생각하시는 분
- Ruby, Python 등 서버 백엔드 개발 언어에 대한 깊은 이해
- 크로스 브라우징 및 반응형 웹에 대한 이해가 있으신 분
- 단위 테스트, 통합 테스트 자동화 경험이 있으신 분
- 자동화 스크립트 작성을 포함한 DevOps 경험
- 코드리뷰 경험이 있으신 분
- 오픈소스 프로젝트 참여 경험
- 새로운 기술에 관심이 많고 꾸준히 스스로 학습하시는 분
- AWS, GCP 등의 클라우드 기반 아키텍처 설계 및 서비스 운영 경험
- 웹서비스를 처음부터 설계, 개발, 운영 경험
- 대용량 데이터 및 트래픽을 안정적으로 처리하는 인프라 설계 및 구축 경험
혜택 및 복지
- 간식 제공(간식 정기배송 서비스 이용 중)"
생체신호 AI 엔지니어 (병역특례 가능 / CTO급 협의 가능),엑소시스템즈,경기.한국,"
- AI 관련 전공/프로젝트 역량 보유자
- 관련분야 주요 학회 및 저널 Publication 실적 보유자
- 생체신호처리 관련 프로젝트 포트폴리오 제출
- 데이터 정제, outlier 제거 등 전처리를 위한 도구 개발 경험
- Python / C++ / MATLAB 숙련자
우대사항","
- 관련분야 석/박사 학위자
- 수준급 저널 논문 게재 실적 보유자
- 프로젝트 리드 경험자
혜택 및 복지
최고의 복지는 함께 하는 동료들과의 협업하는 과정에서 성장을 경험하는 것이라고 합니다. 개인과 회사의 성장, 성과에 대한 보상 등 치열한 만큼 보람을 느낄 수 있도록 만들어가고 있습니다. 기업의 성장 단계에 맞는 복지체계를 지속적으로 늘려가도록 하겠습니다. 

- 육아의 고충에 대한 이해와 근무시간 조정
- 성과에 따른 인센티브 지급
- 스톡옵션 / 병역특례 운영
- 결혼 축하금 및 기타 경조사비


### 일하는 문화

완성된 시스템 내에서 주어진 역할을 하기 보다는, 시스템을 만들어가면서 자신의 철학을 반영할 수 있습니다.

- 직업인으로서의 최소한의 룰을 존중하며, 성과와 책임이 존재하지 않는 자율을 지양합니다.
- 탁월함을 기반으로 한 자율, 그리고 그것을 스스로 해내는 것 속에 자신을 위한 미래가 있다고 믿습니다
- 엑소시스템즈의 구성원들은 서로를 호칭없이 영어 이름으로 부르고, 호칭에서 발생할 수 있는 커뮤티케이션의 간극을 줄이고 적극적인 소통을 지향합니다.
- 팀워크가 무엇보다 중요하다는 것을 이해하고, 개인주의를 양보할 줄 압니다."
Back-End 개발자(3년 이상),패니지먼트,서울.한국,"
[우리회사 개발스택]
•프론트: React, react-native(android, ios), mobx, typescript
•백엔드: Node.JS + Express를 이용한 RestAPI 개발
           API Backend (Node.js, TypeScript, Sequelize, Express) 개발
           AWS EC2, RDS(MySQL), S3 인프라 운영


• 백엔드 개발 경력 3년이상
• MySQL 이용한 DB 구축 경험자
• RDBMS(MySQL,Mariadb)와 NoSQL(Redis, MongoDB…) 백엔드 서비스 개발 경험
• Git 을 사용하는데 어려움이 없으신분(Branch, Rebase, Pull Request..)
• IT 프로젝트 수행 및 협업 경험자
우대사항","
• 백엔드 전반의 시스템을 분석하고 설계가 가능해야 함
• 컴퓨터과학 및 공학 관련 계열 전공자이신 분
• 레거시를 기반으로 리팩토링해보신 경험이 있으신 분
• 단위 테스트와 기능, 통합 테스트를 작성해본 경험이 있으신 분
혜택 및 복지
평소 능동적으로 목표를 설정하고 도전하는 분이라면 적극 환영합니다 
패니지먼트와 함께 동반 성장의 가치를 실현하세요. 

• 구성원의 워라벨을 응원해요 
  - 주 5일제, 오전10시 ~오후 7시 (점심시간 오후 12시30분~ 오후 1시30분)
  - 불필요한 야근 지양, 칼퇴를 추구하는 회사 분위기
  - 생일자 3시간 일찍 퇴근
  - 자유로운 연차/반차 사용


• 2년 장기 근무시 리프레쉬 휴가 별도 지원 (10일)

• 중요 구성원 스톡옵션

• 최적화된 업무 환경에서 일할 수 있어요
  
- 관련 업무 시 최신형 아이맥 / 맥북프로 or 고사양PC 적극 지원

• 회식 잘 안 하는데, 하면 제대로 합니다. 점심이나 업무시간내에 회식합니다.
  안 와도 뭐라고 하진 않습니다."
개발팀장 (Tech Team Leader),패니지먼트,서울.한국,"
• 어플리케이션 개발, 운영 경험자로서 실무 7년차 이상 
  또는 그에 준하는 실력을 갖추신 분
• RESTful API 설계 및 서버 개발 경험이 있으신 분
• 문제를 진단하고 올바른 해결 방법을 제시해 줄 수 있는 분
• 언어와 환경에 구애 받지 않고 개발과 팀을 이끌 수 있으신 분
• 자기 주도적으로 이슈를 선정하고, 개발을 진행할 수 있으신 분
• 필요한 기술을 리서치하고 팀 또는 서비스에 적용하실 수 있는 분
혜택 및 복지
평소 능동적으로 목표를 설정하고 도전하는 분이라면 적극 환영합니다 ♥.♥
패니지먼트와 함께 동반 성장의 가치를 실현하세요

• 구성원의 워라벨을 응원해요 
  - 주 5일제, 오전9시반~오후 6시반
  - 매월 마지막 주 금요일, 저녁이 있는 DAY (오후 5시 업무마감)
  - 불필요한 야근 지양, 칼퇴를 추구하는 회사 분위기
  - 생일자 3시간 일찍 퇴근 (수습기간제외)
  - 자유로운 연차/반차 사용

• 최적화된 업무 환경에서 일할 수 있어요
  - 관련 업무 시 최신형 아이맥 및 고사양PC 적극 지원

• 회식 잘 안 하는데, 하면 제대로 합니다. 안 와도 뭐라고 하진 않습니다.

• 음악을 좋아하셔야 합니다. 우리는 항상 음악을 틀어 놓습니다.",
프론트엔드(Front-End) 개발자,와이덴티티,서울.한국,"
• 프론트엔드 개발 경력 3년 이상 보유하신 분
• React 개발 흐름과 JavaScript에 대해 깊은 이해도가 있으신 분
• React (React Native) 기반 서비스 개발 및 릴리즈 경험을 보유하신 분
• 다수의 사용자 및 다양한 기기 환경에 대응할 수 있는 서비스 개발에 대한 이해도가 있으신 분
우대사항","
• TypeScript / ES6 이상의 JS 기반 프론트엔드 기술 스택 사용을 경험해 보신 분
• 서버 사이드 개발 경험 혹은 백엔드에 대한 기본적인 이해도가 있으신 분
• React Native, Flutter 등 모바일 크로스 플랫폼 개발을 경험해 보신 분

추가 우대사항
• 초기 스타트업 혹은 소규모 웹 서비스 초기 단계의 빠른 성장 사이클을 경험해 보신 분
• 오픈소스 컨트리뷰션, 커뮤니티 활동(운영), 테크 블로그 운영 등의 기술적 역량을 입증할 수 있는 대외 활동 경험이 많으신 분
혜택 및 복지
• 자유롭고 주도적인 업무 분위기 (복장도 자유롭게)
• 다양한 음료와 술 (업무 중 음용 가능. 단, 업무에 지장 없는 범위 내)
• 언제든 이용 가능한 루프탑 (바베큐 그릴 구비)
• 일 할 때 열심히 일 하고, 놀 때 더 열심히 노는 조직 문화"
데브옵스 엔지니어 (Devops Engineer),와이덴티티,서울.한국,"
• AWS 기반으로 운영되는 IT 서비스의 인프라 담당자로서의 업무를 2년 이상 경험하신 분
• 3년 이상의 Linux 기반 시스템을 운영해 본 경험이 있으신 분
• 컨테이너 기반 기술 (Docker, Amazon EKS 등)을 이용한 배포/운영 경험이 있으신 분
ㄴ 1개 이상의 프로그래밍/스크립트 언어 사용 가능
우대사항","
• DAU 10만 사용자 이상의 IT 서비스에서 장애처리/트러블슈팅 경험
• 양방향 비디오/오디오 커뮤니케이션 요소가 있는 서비스의 인프라 구축, 운영 경험
• 초기 스타트업 혹은 소규모 웹 서비스의 초기단계 빠른 성장 사이클을 경험해보신 분
• 컨퍼런스 발표, 테크 블로그 운영/저작 등 기술 역량을 입증할 수 있는 활동이 있으신 분
혜택 및 복지
• 자유롭고 주도적인 업무 분위기 (복장도 자유롭게)
• 다양한 음료와 술 (업무 중 음용 가능. 단, 업무에 지장 없는 범위 내)
• 언제든 이용 가능한 루프탑 (바베큐 그릴 구비)
• 일 할 때 열심히 일 하고, 놀 때 더 열심히 노는 조직 문화"
프론트엔드 개발자 (4년 이상),블랭크랩,서울.한국,"
• Typescript 대한 지식 및 경험이 있으신 분
• 4년 이상의 프론트엔드 개발 경력을 가지신 분
• 읽기 좋은 코드와 복잡성을 줄이고자 꾸준히 고민하시는 분
• 영어로 된 기술 문서를 읽는 것에 부담이 없으신 분
• PO와 디자인 직군 및 백엔드 개발자와 원활히 소통하는 능력을 갖추신 분
• 사용자를 위한 UI/UX 개선을 위해 의견을 개진하는데 적극적이신 분
• 개인의 성장을 위한 학습에 열의가 있으신 분
• 코드 리뷰와 지식공유에 적극적이신 분
우대사항","
• OOP와 FP에 대한 기본적인 이해도 이상을 가지신 분
• Apollo Client 나 React.Relay로 GraphQL 개발 경험을 보유하신 분
• 서버 사이드 개발 경험 혹은 백엔드에 대한 기본적인 이해를 가지고 계신 분
• 이커머스 서비스(상품/주문/결제 등)에 대한 개발 경험을 보유하신 분
혜택 및 복지
경력 개발자 최저 연봉 5000만원 보장:
• 좋은 동료와 함께하기 위해 지원을 아끼지 않습니다.

자율 출퇴근:
• 오전 8시에서 오전 11시 사이에 원하는 출근합니다.
• 출근 후 9시간 이후에 자유롭게 퇴근합니다.

리모트 워크:
• 주 2회 리모트 워크를 합니다.

다양한 휴가:
• 자유롭게 연차 휴가를 사용합니다.
• 반반차나 생일에는 조기퇴근 등 다양한 휴가 제도를 시행합니다.

든든하게 먹기:
• 점심 식대를 1만원까지 지원합니다.
• 사내에 있는 스낵바와 카페에서 간식과 커피를 무제한 제공합니다.

최고의 업무 환경:
• Macbook Pro와 Windows기반의 노트북 중 원하시는 신형 기기를 지원합니다.
• BYOD를 원하시면 매월 일정 금액을 지원합니다.
• 27인치 4K 모니터를 지원합니다.
• SaaS나 개발에 필요한 다양한 업무용 도구를 적극적으로 사용합니다.

브랜드 제품:
• 분기별로 블랭크의 다양한 브랜드 제품 구입 비용 45만 원을 지원합니다.

가족과 함께:
• 매년 5월엔 가족과 풍요로운 시간을 보내기 위한 20만원 상당의 식사비를 지원합니다.
• 가정을 배려하는 직장 어린이집을 운영합니다."
[JAVA] 솔루션 코어 개발,디오티스,서울.한국,"
• 경력 : 3년 ~ 10년(대리, 과장, 차장급)
• JAVA Applilcation 경력자
우대사항","
• 정보처리기사(산업기사포함) 우대
• OpenSouce 유경험자 우대
• voip(sip/rtp) 유경험자 우대
혜택 및 복지
• 청년내일채움공제 실시 기업
• 각종 경조사비, 교육비 지원
• 사내 동호회, 카페테리아 등 운영
• 탄력근무제 시행"
전산관리 담당자,신보,서울.한국,"
ㆍ경력 : 경력 4년 이상(과장, 대리급)
ㆍ언어 : JAVA, javascript 사용 가능자
ㆍ프레임워크 : Spring, MyBatis, JQuery 사용 가능자
ㆍ미들웨어 : Apache, Tomcat 사용 가능자
ㆍ개발툴 : Eclipse 사용 가능자
우대사항","
ㆍ대기업 / 건설업 경력자 우대 
ㆍ데이터베이스 : MySQL, MS SQL 유경험자
ㆍ개발툴 : SQL Developer, SSMS 유경험자
ㆍ프레임워크 : Kendo  UI 유경험자
ㆍ그룹웨어 개발 경험자, Linux, SQL 능숙자 우대
ㆍ서버, 네트워크, 보안관리 유경험자
혜택 및 복지
ㆍ조식 제공 
ㆍ중식대 월 18만원(본사 근무시)
ㆍ제주 골프텔 무료 제공 및 전국 리조트 할인 
ㆍ생일선물 제공(본인 + 배우자) 
ㆍ미취학 자녀 학자금 지원
ㆍ임직원 / 가족 건강검진 지원"
개발 리더/시니어 개발자,포티파이,서울.한국,"
- 전체 개발경력 5년 이상
- 개발 리소스, 프로젝트 매니지먼트 경험이 있으신 분
- 아래 내용 중 한가지 이상에 해당되며, 소프트웨어적인 문제 해결에 능숙하신 분
    - 안드로이드 Kotiln 기술스택 개발 경력 2년 이상(코틀린 사용가능 젯팩컴포즈 등 신기술 동향 파악)
    - IOS 개발 및 운영  2년 이상(swift ui 및 mvvm, subscription 패턴에 대한 심도 있는 이해)
    - rdb(postgresql or mysql) erd 설계, 쿼리 최적화, 유저 민감데이터(금융 의료 등) 암호화 및 보안 설계 경험
- 신사업 및 신기술에 두려움이 없는 분
- B2C, B2B 서비스 개발 및 운영 경험 있으신 분
우대사항","
- 스타트업 업무 경험이 있는 분
- 비개발 직무 실무자와의 원활한 커뮤니케이션이 가능한 분
- 추후 개발팀 Talent recruiting 가능하신 분
- 머신러닝 모델을 개발, 적용한 경험이 있으신 분
- 빅데이터 운영/처리 경험이 있거나 관심이 있으신 분
혜택 및 복지
[포티파이 기업 문화]

- 우리 모두의 회사라는 마음으로 함께하는 회사 (능력에 따라 스톡옵션 부여)
- 영어 닉네임으로 소통하며, 수평적인 관계 지향
- 월 1회 CEO와 1:1 미팅을 통한 지속적인 소통
- 월 1회 타운홀 미팅으로 회사의 이슈를 투명하게 공유

[해당 포지션 복지]

- 경력 및 Fit이 맞는 경우 임원급으로 계약 가능 (스톡옵션 또는 주식 부여)
- 장비 포인트 지원
- 프레임워크, 라이브러리, 개발환경 자체를 설계하는 것에도 주저함이 없는 개발 문화
- 단순히 일정과 요구사항에 맞추는 것이 아닌 독창적인 ideation과 설계를 통해 문제를 해결할 수 있도록 독려하는 개발 시스템

[포티파이 혜택 및 복지]

- 4대 보험, 설/추석 등 기본 복지는 필수
- 유연 출퇴근제(오전 9시~11시 출근, 필요시 재택근무)
- 쾌적한 근무환경 (스마일게이트 인큐베이터 오렌지 플래닛에 수십대1의 경쟁률을 뚫고 입주! 테헤란로 역삼역 5분거리)
- 개인별 업무에 필수 스펙의 장비(노트북, 모니터 등) 입사시 제공
- 업무에 필요한 도서, 장비 지원
- 성장을 위한 워크샵, 교육, 세미나, 컨퍼런스 지원

[필수 제출서류] 

- 이력서, 경력기술서 (* 포트폴리오는 선택사항)"
[W-MALL] 온라인몰 시스템 개발,원신더블유몰,서울.한국,"
• 경력 : 경력 7년 이상
• javascript, jQuery, CSS에 능숙하고 SQL 쿼리에 대한 이해가 있는 자
우대사항","
• HTML, CSS, javascript, ES6+ 등 개발 능력 보유
• Java, Spring 프레임워크, JQuery에 대한 이해도가 높으신 분
• 새로운 기술 및 트렌드에 대하여 연구 및 습득에 문제가 없는 분
• RESTful API 개발 및 외부 API연동 유경험자
• 대규모 트래픽을 위한 분산시스템 설계/개발/운영 경험이 있으신 분
혜택 및 복지
중석식 제공, 주차장 제공, 상여금, 경조금, 여름휴가, 경조휴가, 장기근속자 포상, 우수사원 포상, 건강검진, 연차, 퇴직금, 4대보험, 육아휴직, 남성출산휴가, 생일선물"
JAVA개발자_유통/커머스 운영 및 구축,지에스아이티엠(GS ITM),서울.한국,"
• JAVA개발 실무 경력 3년 이상이신 분
• 동료와 협업하고 배려심과 인성을 갖추신 분
우대사항","
• C, Python, Java Script, Node.js, React-Native 경험을 보유하신 분
• 성실하고 책임감 있으신 분
• 커뮤니케이션에 적극적이신 분
혜택 및 복지
GS ITM 최고의 복지는 '동료'입니다.

[조직문화]
개발자들의 기술역량을 발휘할 수 있는 다양한 근무환경을 제공합니다.
• 수평적 조직문화 확산과 역할 중심의 문화
• 직급없이 “매니저”로 호칭 일원화
• 복장규정 캐주얼

[경력개발]
구성원의 자기계발을 위한 교육/자격증 취득을 지원해 드립니다.
• 온라인(겟스마트,인프런) 오프라인 교육 전액 지원
• 자격증 취득 지원 (취득비용 50% 지원)

[구성원 가족케어]
구성원의 가족들도 GS ITM과 함께 합니다. 
• 각종 경조금 지원
• 경조용품 및 장례(상조서비스) 지원
• 명절선물 지급(설,추석)

[여가활동지원] 
구성원의 리프레쉬를 응원합니다.
• 전국 8개소 휴양소 이용가능
• 티웨이항공 상시 할인
• 복지포인트 제공

[건강관리] 
구성원과 가족의 건강관리를 위한 제도를 운영합니다.
• 매년 종합건강검진 시행
• 배우자 건강검진 (40세 이상 격년시행)
• 구성원 단체보험 가입 
• 코로나19 백신휴가 

[회사생활]
• 5년 단위 장기근속 포상(국민관광상품권 100만원 및 휴가 5일)
• 사내동호회 지원

[법정 복지제도]
• 주5일근무, 4대보험, 연차/반차/반반차 사용
• 출산휴가
• 육아휴직
• 가족돌봄휴가"
[솔닥] 비대면 헬스케어 서비스 Front-end 개발자,아이케어닥터(솔닥),서울.한국,"
- 경력 2년 이상에 준하는 실력 보유자
- React, Javascript
- REST API에 이해도가 있으신 분
- 모바일, 반응형 웹 제작 경험이 있으신 분
- 디자인 패턴 및 상태 관리에 대한 이해도가 높으신 분
우대사항","
- 카카오 서비스의 전반적인 이해와 개발 경험
- 시큐리티 코딩에 대한 이해도가 높으신 분
- 외부 API 활용한 서비스 개발 및 gateway 서버 구축 경험
- 마이크로 서비스를 위한 아키텍처 구축 경험
- 시큐리티 코딩에 대한 이해
- 또는 Web/APP을 제외한 다른 개발 스택
혜택 및 복지
- 맥북 13인치 CTO 및 모니터 지원
- 개발 도서비 지원
- 무선 휴대폰 충전기, 마우스, 키보드 제공
- 시디즈 의자 제공
- 자유로운 연차 사용
- 커피 및 간식 제공
- 그 외 등등"
시니어 서비스기획자 (PM/PO),아이케어닥터(솔닥),서울.한국,"
• 서비스 기획 경력 3년 이상
• 사내 제품개발팀과 협업하여 제품 및 서비스를 기획하고, 서비스개발 및 런칭, 업데이트, 운영 경험이 있는 분
• 문제해결을 위해 다양한 직군과 원할한 커뮤니케이션이 능통한 분
• 서비스 구현에 영향을 줄 수 있는 기술, 보안, 법적 제약사항 등을 고민할 수 있으신 분
• 신규 서비스에 대한 도전의식과 배우고자 하는 열정이 있으신 분
• 기획부터 운영까지 서비스에 대한 애착과 책임감으로 업무를 수행하시는 분
우대사항","
• 헬스케어, 바이오산업 관련 프로젝트 수행 및 서비스 운영 경험이 있으신 분
• 플랫폼 비즈니스에 대한 관심과 이해도를 가지신 분
• 신규 서비스를 만들고자 하는 열정이 있는 분

*포트폴리오 필수 첨부 부탁드립니다!
혜택 및 복지
• 유연한 출근 퇴근 제도 ㅣ 현재는 9/10시 선택해서 출근하고 있습니다
• 반차/반반차/붙여서 원하는대로 눈치안보고 휴가를 사용할 수 있어요.
• 당충전 : 시리얼, 커피 등 필요한 스낵은 모두 지원해드려요
• 다양한 사람들 : 의사, 약사, 전문가 등 전혀 다른 영역의 사람들과 마음껏 만나볼 있으세요
• 최고급 사양 PC 또는 랩탑, 디자인 장비 및 소프트웨어 제공합니다. (Mac, Dell Monitor 등) 지원
• 당신의 개성을 존중합니다. 복장은 터치하지않아요
• 호칭은 모두 '님' 으로 수평적 관계를 지향해요"
Data Engineer (데이터 엔지니어),마키나락스,서울.한국,"
• Python에 능숙하신 분
• RDBMS, NoSQL 개념을 이용하고 서비스에 적용한 경험이 있는 분
• Kafka, RabbitMQ 등의 Message Queuing System에 대한 경험이 있으신 분
• ML/ DL 모델, 피처, 데이터 등을 관리하기 위한 데이터베이스 및 Versioning 시스템 개발 경험이 있으신 분
• Docker 에 대한 이해 및 사용 경험이 있으신 분
• 클라우드(AWS, GCP 등)를 사용한 서비스 배포 경험 있으신 분
• Github Action, ArgoCD, Jenkins 와 같은 도구를 활용한 CI/CD 자동화 경험이 있으신 분
• 새로운 Tool 및 Open Source 사용에 대해 적극적인 분
• 뛰어난 의사소통 능력을 갖추시고 팀워크를 중시하는 분
우대사항","
• 실제 서비스에 사용되는 AI 모델의 Data Pipeline을 배포한 경험이 있으신 분
• k8s 에 대한 이해 및 사용 경험이 있으신 분
• 실시간 데이터 처리 경험 있으신 분
• data scientist, ml engineer (+ production, business team)와 협업한 경험이 있으신 분
혜택 및 복지
#마키나락스에 오시면…

[자율]
마키나락스는 '자율'적인 근무환경을 지향합니다.
무제한 휴가제도 - 휴가는 필요할 때, 일수에 제한 없이 사용할 수 있어요.
유연한 재택근무 - 자유롭게 재택근무를 할 수 있어요.
자율적인 출퇴근 문화 - Core Time(10시 ~ 4시)을 제외하고 자유롭게 출근과 퇴근이 가능해요.

[몰입]
마키나락스는 업무 이외의 것에는 신경쓰지 않도록 '몰입'할 수 있는 환경을 지원합니다. 
최신 사양 장비 지원(맥북 프로 16 인치, 32 인치 4K 모니터)
스탠딩 데스크 지원
점심 및 저녁 식사 지원 
다양한 간식과 음료가 구비된 스낵바 제공
1년 1회 30만원 상당의 종합 건강검진 지원

[성장]
마키나락스는 회사와 구성원이 함께 '성장'할 수 있도록 지원합니다. 
2년에 2회 국제 컨퍼런스 및 세미나 참가 지원
업무 관련 강의 수강 및 도서 구매
화상 영어 교육 지원 
사내 스터디 활동 지원 

[팀워크]
마키나락스는 '팀이 가지는 시너지'를 믿습니다. 
사내 소모임 활동 지원 
월 2회 랜덤 점심 식사 지원 
매주 1회 팀 티타임 지원"
